酒名,url,酒譜,介紹,步驟,口味,評論
Scofflaw,https://www.liquor.com/recipes/scofflaw/,"{'Bourbon or rye whiskey': '2 ounce', 'Dry vermouth': '1 ounce', 'Fresh lemon juice': '1/4 ounce', 'Grenadine': '1/2 ounce', 'Orange bitters': '2 dash'}",['This whiskey drink was invented in Paris while the U.S. suffered through Prohibition.'],"['Add all ingredients into a shaker with ice and shake.', 'Strain into a chilled cocktail glass.']",Sour,NULL
Hot Toddy,https://www.liquor.com/recipes/hot-toddy/,"{'boiling water': 'to fill a mug', 'Cloves': '4', 'lemon': 'peel or wheel', 'Demerara sugar or brown sugar': '2 tsp', 'Fresh lemon juice': '1/4 ounce', 'bourbon, rye whiskey, Irish whiskey or scotch': '2 ounce'}","['The Hot Toddy is the grandfather of hot cocktails. Equally at home in a snowbound mountain cabin as it is on an acclaimed cocktail menu, the Hot Toddy has one job that it takes quite seriously: warming you up.', 'The Hot Toddy has been linked to warming up winter nights next to a fireplace, as well as warding off colds. You can use any kind of whiskey you like in this hot and comforting classic, and the end result will be equally delicious. Grab your favorite mug, and get ready for a warm whiskey embrace.']","['Fill a mug with boiling water and let stand for a minute or two to warm.', 'Meanwhile, stick the cloves into the lemon peel or wheel and set aside.', 'Empty the mug and fill about halfway with fresh boiling water.', 'Add the sugar and stir to dissolve.', 'Add the prepared lemon peel or wheel and stir.', 'Add the lemon juice and whiskey, and stir again.']",Sour,NULL
Singapore Sling,https://www.liquor.com/recipes/singapore-sling/,"{'gin': '3/4 ounce', 'Grand Marnier': '1/4 ounce', 'cherry liqueur': '1/4 ounce', 'herbal liqueur': '1/4 ounce', 'pineapple juice': '1 ounce', 'fresh lime juice': '1/2 ounce', 'bitters': '1 dash', 'club soda': 'to top'}","['The Singapore Sling was originally served at Long Bar in the Raffles hotel in Singapore around the turn of the century. The original recipe is attributed to Raffles bartender Ngiam Tong Boon and is a variant on the Gin Sling.', 'Our recipe evokes the classic recipe, which is fruit-forward, herbaceous and strong, though most incarnations of the “classic” Singapore Sling are based on general notes and nostalgia. Later, more modern incarnations of the drink created an overly sweet drink based more on grenadine than citrus. The earliest published version of the recipe was in the 1930 classic by Harry Craddock, “The Savoy Cocktail Book.” David A. Embury states in his book “The Fine Art of Mixing Drinks” that no two published recipes for the Singapore Sling are the same.', 'What does that mean? The Singapore Sling is a classic and refreshing cocktail that’s fun to experiment with. Our recipe below is as true to the classic as we can get, but you should feel free to experiment and come up with your own version.']","['Add all the ingredients except the club soda into a shaker with ice and shake.', 'Strain into a highball glass, and top with the club soda.', 'Garnish with an orange slice and a cherry.']",Sour,NULL
Green Beast,https://www.liquor.com/recipes/green-beast/,"{'Pernod absinthe': '1 ounce', 'Fresh lime juice': '1 ounce', 'Simple syrup': '1 ounce', 'Water': '4 ounce'}",['Make a big bowl of this refreshing absinthe and lime punch.'],"['Add all ingredients to a Collins glass with ice.', 'Garnish with 4 cucumber slices and stir.', '(This recipe can be multiplied to fill a large punch bowl.).']",Sour,NULL
New York Sour,https://www.liquor.com/recipes/new-york-sour/,"{'rye whiskey or bourbon': '2 ounce', 'Fresh lemon juice': '1 ounce', 'ounce Simple syrup': '3/4 ounce', 'egg white ': '1 ounce', 'red wine': '1/2 ounce'}",['The secret to this Whiskey Sour variation is a bit of red wine.'],"['Add all ingredients except the wine into a shaker with ice and shake.', 'Strain into a rocks glass over fresh ice.', 'Slowly pour the wine over the back of a bar spoon so that it floats on top of the drink.']",Sour,"[[""Sounds good but that's the clearest bourbon I've ever seen!""], [""Thanks for your comment; we've updated the photo. Cheers!""], ['Yeah that threw me off too!'], [""Just maid it. I don't think the red I used was ideal, but gosh if it wasn't delicious.""], ['Try cutting back on the simple and using a nice Ruby Port instead, such as Noval Black.'], ['What wine did you use Brian?']]"
Boston Rum Punch,https://www.liquor.com/recipes/boston-rum-punch/,"{'Smith & Cross Traditional Jamaica rum': '2 ounce', 'lemonade': 'to fill'}",['This delicious mix of rum and lemonade is a Beantown classic.'],"['Add the rum into a shaker with finely cracked ice and fill with lemonade, then shake briefly.', 'Pour (unstrained) into a pint glass.', 'Garnish with half a strawberry and an orange slice.']",Sour,NULL
London Lemonade,https://www.liquor.com/recipes/london-lemonade/,"{'Bulldog gin': '2 ounce', 'fresh lemonade': '4 ounce'}","['Once the mercury starts rising, it’s officially time to wheel out the lemonade. Since summer cocktails should be simple to stir together in the heat of the moment, there’s no better duo than Bulldog Gin and tart lemonade over ice. This simple tipple is a must when the temperature starts to rise.']","['Add the gin and lemonade to a double Old Fashioned glass filled with ice.', 'Stir, and garnish with a lemon wheel.']",Sour,NULL
Midori Sour,https://www.liquor.com/recipes/midori-sour/,"{'Midori ': '1 ounce', 'Vodka': '1 ounce', 'Fresh lemon juice': '1/2 ounce', 'Fresh lime juice': '1/2 ounce', 'Soda water': 'to top'}","['The Midori Sour is an emblem of 1970s excess: sweet, bright and just about what you’d expect from a cocktail whose chief ingredient celebrated its debut at NYC’s Studio 54. Most versions disguise the melon flavors of the Midori (made from Yubari and muskmelons) with corn syrup–rich sour mix. This recipe, mixed with fresh-squeezed fruit juices and topped with soda water, brings the drink dancing into the 21st century.']","['Add all ingredients except the soda water into a Collins glass over ice and stir.', 'Top with the soda water.', 'Garnish with a lemon wheel.']",Sour,NULL
Mai Tai,https://www.liquor.com/recipes/traditional-mai-tai/,"{'white rum': '11/2 ounce', 'orange curaçao': '3/4 ounce', 'fresh lime juice': '3/4 ounce', 'orgeat': '1/2 ounce', 'dark rum': '1/2 ounce'}","['The Mai Tai is perhaps the most famous Tiki cocktail for a good reason. Trader Vic’s is credited with inventing the drink, and the first person to try it was said to cry out “Mai Tai!” which means “the best—out of this world” in Tahitian. The Mai Tai took a star turn by earning a prominent role in the Elvis film ""Blue Hawaii.""', 'The Mai Tai was created as a way to showcase the flavors of good-quality rum. It should never be neon-colored or overly sweet. A proper Mai Tai allows the rum to shine through with the other ingredients.']","['Add the white rum, curaçao, lime juice and orgeat into a shaker with crushed ice and shake lightly (about 3 seconds).', 'Pour into a double Old Fashioned glass.', 'Float the dark rum over top.', 'Garnish with a lime wheel and mint sprig.']",Sour,[['Not quite the Trader Vic recipe.']]
Mantra,https://www.liquor.com/mantra-cocktail-recipe-5069811,"{'Mekhong ': '1 ounce', 'Dolin Rouge sweet vermouth': '3/4 ounce', 'ginger-infused Campari': '3/4 ounce'}","['Asawin Rojmethatawee, the owner of Tep Bar in Bangkok’s Chinatown, intended his bar to be a “cultural bar of Thailand” with Thai-rooted drinks, decor, music and food. This cocktail, created by one of Tep’s bartenders, sees Mekhong, similar to a spiced rum and essentially Thailand’s national spirit, in place of the usual gin in a spiced Negroni variant.', 'This recipe originally appeared as part of ""How to Put a Thai Twist on Classic Cocktails.""']","['Add all ingredients to a mixing glass with ice and stir until chilled.', 'Strain into a rocks glass.', 'Garnish with a medjool date.']",Spicy,NULL
Cotter Swizzle,https://www.liquor.com/cotter-swizzle-cocktail-recipe-4845452,"{'Ransom Old Tom gin': '13/4 ounce', 'ginger liqueur': '1 ounce', 'lime juice': '1/2 ounce', 'red wine vinegar': '1 ounce', 'Angostura bitters': '4 dash'}","[""Fish & Game, in Hudson, N.Y., which Esquire named one of the most influential restaurants of the decade, is known for its new-wave farm-to-table cooking, whole utilization techniques and fresh ingredients. The Cotter Swizzle epitomizes the restaurant’s low-waste philosophy through the use of a red wine vinegar made from the restaurant's spent wines, adding bright acidity and depth to the cocktail. With ingredients that include fresh citrus, ginger and the slightly sweet botanical Old Tom gin, and garnished with aromatic bitters, this swizzle featuring the house-made vinegar is zippy and complex in flavor.\xa0"", '""The Cotter Swizzle was originally a collaboration between me and a bartender who worked at Fish & Game, Kat Dunn,"" says Jori Jayne Emde, the founder of Lady Jayne’s Alchemy and fermentation consultant for Fish & Game. ""I had made some wild sumac tea, which is tart and tannic, so we played around with other additions to build a lightly sweet, tart and spiced Swizzle. Over time, I built on the drink as I was producing more and more vinegar, so I swapped out the wild sumac tea for my vinegar as it added a similar flavor to the drink.” It’s named for the road Emde lives on, since its ingredients—the wild sumac and the red wine vinegar—come from there.\xa0', 'This recipe originally appeared as part of “How to Make Vinegar from Wine.”']","['Add the gin, liqueur, lime juice and red wine into a Collins glass with crushed ice and swizzle until the ice starts to melt.', 'Top with more crushed ice to mound and gently pat down.', 'Add the Angostura bitters over the top of the ice.', 'Garnish with thinly sliced ginger on top of the ice.']",Spicy,NULL
Spicy Margarita,https://www.liquor.com/recipes/spicy-margarita/,"{'Lime': '1 wedge', 'Jalapeño coins ': '2', 'Blanco tequila': '2 ounce', 'Fresh lime juice': '1 ounce', 'Orange liqueur': '1/2 ounce', 'Agave syrup': '1/2 ounce'}","['The Spicy Margarita succeeds where so many of its siblings seem to fail. That is to say, it refocuses the classic tequila cocktail without losing what’s essential to its success: that timeless blend of sweet, sour and earthy flavors. The key is to use fresh jalapeño. Two muddled coins, with seeds removed, yields a conservatively spicy drink. But for a spicier Spicy Margarita, throw in a third coin. It’s the perfect cocktail to fire up your summer.']","['Rub the rim of a rocks glass with a lime wedge, dip in salt to coat and set aside.', 'Add the jalapeño coins into a shaker and gently muddle.', 'Add remaining ingredients and ice and shake until well-chilled.', 'Strain into prepared glass over fresh ice.', 'Garnish with a jalapeño coin.']",Spicy,NULL
Spiced Eggnog,https://www.liquor.com/recipes/spiced-eggnog/,"{'eggs': '2 Large', 'Superfine sugar': '3 ounce', 'Brandy': '3 ounce', 'Sailor Jerry spiced rum': '2 ounce', 'Whole milk': '6 ounce', 'Heavy cream': '4 ounce'}","['Portland, Ore., bar legend Jeffrey Morgenthaler takes his seasonal Eggnog seriously. “Even the crappy stuff from the grocery store I love,” he says. There’s nothing crappy about his rich twist on the drink, made with fresh eggs, whole milk, heavy cream and a mix of brandy and Sailor Jerry spiced rum. The idea behind his recipe, he says, is to elevate the drink ""from something mundane to something more culinary.""', 'This recipe originally appeared as part of “Not All Eggnogs Are Created Equal: 3 Recipes to Keep Close This Holiday Season.”']","['Serves 3.', 'Beat eggs in blender for 1 minute on medium speed.', 'Slowly add sugar and blend for 1 minute.', 'With blender still running, add brandy, rum, milk and cream until combined.', 'Chill thoroughly to allow flavors to combine.', 'Serve in chilled coupe or wine glass.', 'Garnish with grated nutmeg.']",Spicy,NULL
The Spice Is Right,https://www.liquor.com/recipes/the-spice-is-right/,"{'Plantation Stiggins’ Fancy pineapple rum': '1 ounce', 'Rittenhouse rye whiskey': '1 ounce', 'St  Elizabeth allspice dram': '1/2 ounce', 'Ancho Reyes ancho chile liqueur ': '1/4 ounce', 'Simple syrup': '1/4 ounce', 'Eggnog': '3/4 ounce'}","['This Eggnog variation from Tulsa’s Nate Wood, who splits his bartending duties between Amelia’s on Boston and Oren, is a spice lover’s dream come true. Rye, all-spice dram, chile liqueur and cinnamon simple syrup come together to make a bold backbone for the winter cocktail. But it’s the pineapple rum that gives the drink its legs, says Wood. It brings a “contrasting sweetness and brighter tone” to the drink. If you want to spice this flavor profile up even more, Woods suggests infusing the rum and rye with some clove and/or cinnamon sticks prior to mixing.', 'This recipe originally appeared as part of “Not All Eggnogs Are Created Equal: 3 Recipes to Keep Close This Holiday Season.”']","['Add all ingredients into a shaker with ice and shake well.', 'Strain into a rocks glass over fresh ice.', 'Garnish with grated nutmeg.', '*Cinnamon simple syrup: Add 4 cinnamon sticks, 1 cup sugar and 1 cup water into saucepan. Bring to boil, reduce heat and simmer until sugar dissolves. Remove pan from heat and let steep for 20 minutes. Remove cinnamon sticks and store syrup in refrigerator up to 2 weeks. (Optional: Mix 1/2 oz simple syrup with 1 dash ground cinnamon.).']",Spicy,NULL
Conflict & Compromise,https://www.liquor.com/recipes/conflict-and-compromise/,"{'Tequila Ocho plata': '11/2 ounce', 'Midori': '3/4 ounce', 'fresh lime juice': '3/4 ounce', 'agave nectar': '1/2 ounce', 'jalapeño pepper': '2 slice', 'cilantro': '7 slice'}","['“[Midori] lends itself to all kinds of infusions and plays well with herbs, spices [and] heat like cayenne,” says Brock Schulte, the bar director at The Monarch in Kansas City, Mo. “I like to use it with cilantro and jalapeño for interesting Margarita-style variations,” as in this cocktail.', 'This recipe originally appeared as part of “What the #$@! Do I Do with This? Midori: What It Is and How to Use It.”']","['Add all ingredients into a shaker with ice and hard-shake until well-chilled.', 'Double-strain into a rocks glass over crushed ice.', 'Garnish with a tight bunch of cilantro.']",Spicy,NULL
Cobra Verde,https://www.liquor.com/recipes/cobra-verde/,"{'Midori': '11/4 ounce', 'Ancho Reyes chile liqueur': '1/2 ounce', 'Fresh lemon juice': '1/2 ounce', 'Fever-Tree aromatic tonic': 'to top'}","['“Midori’s best attributes are its flavor—sweet but also incredibly balanced out into something round and drinkable,” says A.J. Johnson, the head bartender at Antica Pesa in Brooklyn. “And the bright, neon aspect is so fun to have on a shelf or build around.” It more than holds its own as the base in an effervescent cocktail like his Cobra Verde.', 'This recipe originally appeared as part of “What the #$@! Do I Do with This? Midori: What It Is and How to Use It.”']","['Add all ingredients into a Collins glass over ice and stir.', 'Garnish with a thyme sprig.']",Spicy,"[['Even a small spritz of Fever Tree Aromatic turns it yellow. Let alone the pour I suspect is intended. They know aromatic is the pink one, right?'], ['Yeah but do you stir or layer or shake?'], ['needs an ounce of gin or tequila to be a REAL drink']]"
Ginger Fever Punch,https://www.liquor.com/recipes/ginger-fever-punch/,"{'Blanco tequila': '11/2 ounce', 'Fresh lime juice': '3/4 ounce', 'Pomegranate juice': '3/4 ounce', 'Grapefruit juice': '1/2 ounce', 'Goji ginger syrup': '1/2 ounce', 'Fever-Tree ginger beer': 'to top'}","['This seasonal stunner is the work of Shawn Chen, the beverage director of Decoy and RedFarm, two modern Chinese restaurants in Manhattan. He calls it the “ultimate holiday cocktail made to please a thirsty crowd,” with flavors inspired by seasonal ingredients, specifically “ginger, cranberry sauce and lots of booze.” Although the punch touts tequila, Chen champions the recipe’s versatility. “You can serve this with any spirit of your choice, and it would be equally delicious.""', 'This recipe originally appeared as part of “Give Your Punch Bowl a Purpose with These 3 Holiday Recipes.”']","['Add all ingredients except ginger beer into a shaker with ice and shake.', 'Strain into a rocks glass over fresh ice.', 'Top with ginger beer.', 'Garnish with pomegranate seeds, sliced grapefruit and a rosemary sprig.', '*Goji ginger syrup: Add 4 oz ginger juice, 1/2 cups granulated sugar, 1 tbsp goji berries into a blender and blend at medium speed. Strain and pour into a sealed container. Keep refrigerated up to 2 weeks.']",Spicy,NULL
"Hey, Gourdgeous",https://www.liquor.com/recipes/hey-gourdgeous/,"{'Granny Smith apples': '2', 'Fresh lemon juice': '16 ounce', 'Real maple syrup': '12 ounce', 'Fresh ginger': '4 ounce', 'Cinnamon stick': '8', 'Star anise': '8', 'Whole Cloves': '1 tbsp', 'Ground nutmeg': '1 tsp', 'Apple brandy ': '1 bottle', 'Amaro Montenegro ': '1/2 bottle', 'Spiced-butter-brushed baked mini pumpkins': '6'}","['According to NYC bartender and consultant Joanna Carpenter, mini pumpkins are more than just throwaway fall décor. If you have the time (and an efficient scooping tool), this recipe, along with its over-the-top edible vessels, should be at the top of your list for winter kitchen experiments.', 'This recipe originally appeared as part of “4 Warming Crock-Pot Cocktail Recipes to Try at Home.”']","['In a slow cooker, add apples, lemon juice, maple syrup and 8 oz water, then top with ginger, cinnamon sticks, star anise, cloves and nutmeg.', 'Stir, then cover and cook on high for one hour.', 'Add apple brandy and amaro, and gently stir to mix. Cover again and cook on high for another hour. Turn to low to keep warm and serve as needed.', ""*Spiced-butter-brushed baked mini pumpkins: Preheat oven to 350 degrees. Slice off tops of 6 small pumpkins and hollow out insides, making sure not to scoop the walls too thin. Arrange pumpkins on a baking sheet cut side down and bake for 10-12 minutes, or until the insides are mushy. In the meantime, in a shallow saucepan on medium heat, add 2 sticks of salted butter, 4 cinnamon sticks and 1 tsp ground nutmeg. When butter is melted, stir in 1 cup packed brown sugar until completely mixed. Keep warm on very low heat so the mixture doesn't burn. Remove pumpkins from oven, and turn them cut side up. Let stand to cool for 10 minutes. Brush spiced butter over inside of each pumpkin before pouring warm cocktail from slow cooker into each pumpkin.""]",Spicy,NULL
Brandy Sangaree,https://www.liquor.com/recipes/brandy-sangaree/,"{'Sugar': '1/2 tsp', 'Water': '1 tsp', 'Brandy': '2 ounce', 'Port wine': '1 ounce'}","['Dating back to the late 1700s, this single-serving punch is the perfect open-ended drink. At its simplest, it’s sweet, spicy and low on alcohol. But add a shot of your favorite brandy, and things get even more interesting.']","['Add the sugar and water into a mixing glass and stir until sugar is dissolved.', 'Add the brandy, port wine and ice and stir.', 'Strain into a chilled Nick & Nora glass.', 'Garnish with freshly grated nutmeg.']",Spicy,[['And no ice?!']]
Spiced Margarita,https://www.liquor.com/recipes/spiced-margarita/,"{'Lime': '1 wedge', ' Jalapeño': '3 wheels ', 'Blanco tequila': '2 ounce', 'Amaretto': '3/4 ounce', 'Fresh lime juice': '1 ounce'}","['Joan Villanueva, the beverage curator at BO-beau kitchen + caché in San Diego, sees a lot of application for amaretto with bold and spicy flavors like mezcal, tequila and rye. In this Margarita version, amaretto stands in for orange liqueur, and muddled jalapeño slices lend a touch of lip-tingling heat.', 'This recipe originally appeared as part of “What the #$@! Do I Do with This? Amaretto: What It Is and How to Use It.”']","['Rub half of the outside of a rocks glass with a lime wedge, dip in salt to coat and set aside.', 'Add the jalapeño wheels into a shaker and gently muddle.', 'Add the tequila, amaretto, lime juice and ice and shake until well-chilled.', 'Strain into the prepared glass over fresh ice.', 'Garnish with a lime wheel.']",Spicy,NULL
Spicy Mint Avocado Margarita,https://www.liquor.com/recipes/spicy-mint-avocado-margarita/,"{'avocado ': '1 slice', 'jalapeño pepper ': '3 slice', 'Mint leaves': '4 fresh', 'blanco tequila': '2 ounce', 'orange liqueur': '1 ounce', 'fresh lime juice': '1 ounce', 'ounce Simple syrup': '1/2 ounce', 'salt': '1 pinch'}","['Most people can recite the health benefits of the mighty avocado—loaded with nutrients, antioxidants and plenty of that good fat—but few think of it as a cocktail ingredient. This Margarita spin doubles down on the green, muddling the superfruit with fresh mint and jalapeño for a warm-weather sipper that will make you feel good in more ways than one.']","['Rim a double rocks glass with salt and set aside.', 'Add the avocado, jalapeño, mint and lime juice into a shaker and muddle until the avocado is mashed.', 'Add the tequila, orange liqueur, simple syrup and salt.', 'Fill the shaker with ice, and shake until well-chilled.', 'Strain into the prepared rocks glass over fresh ice.', 'Garnish with a mint sprig.']",Spicy,"[[""I've never seen a recipe in which ingredients are place in a mixing glass, then *shaked* with ice. Was this a typo? And if not, how does one shake a cocktail in a mixing glass?""], [""Thanks for bringing this to our attention. We've updating the recipe's instructions.""]]"
Bloody Caesar,https://www.liquor.com/recipes/bloody-caesar/,"{'celery salt': 'NULL', 'vodka': '11/2 ounce', 'Clamato juice': '4 ounce', 'Worcestershire sauce': '2 dash', 'Tabasco sauce': '2 dash', 'prepared horseradish': 'to taste '}",['This clam-juice-spiked Bloody Mary is the national cocktail of Canada.'],"['Coat the rim of a tall glass with celery salt, fill with ice and set aside.', 'Add remaining ingredients into a mixing glass with ice.', 'Pour back and forth into another mixing glass a few times to mix.', 'Strain into the prepared glass.', 'Garnish with a cucumber spear, lime wedge and parsley sprig.']",Spicy,"[['Every Canadian I\'ve ever known is adamant that it\'s not a ""Bloody Caesar"", but simply a ""Caesar"".'], [""I'm sorry, a parsley sprig?""], ['Even the photographer got that part right.'], [""Thank you, you are absolutely right. It's been changed to celery stalk in the ingredients. We appreciate you helping to make our site better.""], ['As a Canadian bartender with 20 years experience, I can stand behind this recipe as a solid foundation for making a Caesar. Especially with regards to horseradish being optional, as I don’t recall it being a traditional ingredient in the Caesar’s my parents would make, long before I got behind a bar. I would say it started appearing on bar menus 10-15 years ago, with mixed reviews. If you do use horseradish, be sure to mix it well.\nSome other helpful tips:\n-If you can’t find celery salt, try using store bought steak rub or Tex-mex style seasoning, chilli powder, etc.\n-SPICE THE ICE! After rimming the glass, add lots of ice, then your worcestershire & tabasco, before the vodka and Clamato juice.\n-Try using a higher ratio of Worcestershire to tabasco than the 1:1 in this recipe. I usually do 4:1, unless the guest requests it to be mild. I prefer my Caesar to be “muddy” (extra Worcestershire) and spicy. However, like a martini, everyone has their preferences.\n-Garnishes are a wild card theses days. Lime or lemon is standard, along with celery. Cucumber, pickeled beans or asparagus are also common now. To the extreme, some bars offer things like shrimp, bacon, sliders, lobster tail, etc. To each their own.'], ['Not sure if it\'s ""authentic"", but I don\'t have celery salt but I found that Old Bay seasoning works pretty well, especially in the Caesar version.']]"
Bloody Maria,https://www.liquor.com/recipes/bloody-maria/,"{'Tequila': '2 ounce', 'Tomato juice': '4 ounce', 'Fresh lemon juice': '1/2 ounce', 'Worcestershire sauce': '4 dash', 'Tabasco sauce': '2 dash', 'Tapatio hot sauce': '2 dash', 'Prepared horseradish': '1/2 tbsp', 'Celery salt': '1 pinch', 'Ground black pepper': '1 pinch'}","['Tequila shoulders out vodka in this south-of-the-border spin on the brunch-favorite Bloody Mary. Laced with two brands of hot sauce, the Bloody Maria gains extra kick from a hefty dose of horseradish and is generously garnished with a cucumber spear, jalapeño slices and queso fresco. Make your next brunch a fiesta with this tequila-spiked Bloody Mary.']","['Add all the ingredients to a shaker and fill with ice.', 'Shake briefly and strain into a pint glass filled with fresh ice.', 'Garnish with a lime wedge, a lemon wedge, a cucumber spear and a skewer of sweet pepper slices, jalapeño slices and queso fresco.', '.']",Spicy,NULL
Hot Blooded,https://www.liquor.com/recipes/hot-blooded/,"{'Rye whiskey': '2 ounce', 'Ancho Reyes ancho chile liqueur': '1/2 ounce', 'Fresh lime juice': '1/2 ounce', 'Blood orange juice': '1/2 ounce', 'Simple syrup': '1/2 ounce', 'Hot sauce': '4 dash'}","['Hot sauce and whiskey might sound like strange cocktail bedfellows, but here they blend nicely with blood orange juice and and chile liqueur for a warming drink of a different stripe.']","['Add all ingredients into a shaker with ice and shake until well-chilled.', 'Strain into a coupe.', 'Garnish with skewered heart-shaped blood orange and lime peels.']",Spicy,NULL
Michelada,https://www.liquor.com/recipes/michelada/,"{'Salt': 'NULL', 'Cayenne pepper': 'NULL', 'Lime juice': '1/2 ounce', 'Tabasco sauce': '2 drops', 'Worcestershire sauce': '2 dash', 'Ground black pepper': '1 pinch', 'Celery salt': '1 pinch', 'Mexican lager beer ': 'NULL'}","['The classic Mexican Michelada recipe kicks up the flavor of a cold beer. We break down the steps to the Michelada, or Chelada as some call it, to make it easy.']","['Rub the lime wedge along half the rim of the pint glass and dip into a mix of equal parts salt and cayenne pepper.', 'Add the remaining ingredients except the beer.', 'Fill with beer and garnish with a fresh lime wedge if you like.']",Spicy,NULL
Bloody Mary,https://www.liquor.com/recipes/classic-bloody-mary/,"{'Lemon': '1 wedge', 'Lime': '1 wedge', 'vodka': '2 ounce', 'tomato juice': '4 ounce', 'Tabasco sauce': '2 dash', 'prepared horseradish': '2 tsp', 'worcestershire sauce': '2 dash', 'celery salt': '1 pinch', 'ground black pepper': '1 pinch', 'smoked paprika': '1 pinch'}","['The Bloody Mary is a vodka-soaked nutritional breakfast and hangover cure all in one. What else could you ask for?', 'The tomato-based cocktail has hundreds of variations, from heavy on the hot sauce to a splash of Guinness on top. It’s best to start with the classic recipe and work toward the way you like it, even if it’s topped with a shrimp skewer, a slice of bacon and a tiny cheeseburger. Crazy garnishes aside, there’s a reason this iconic beverage is a classic.', ""While the origin of this popular brunch cocktail is debatable, the Bloody Mary's staying power leaves no question.""]","['\x7fPour some celery salt onto a small plate.', 'Rub the juicy side of the lemon or lime wedge along the lip of a pint glass.', 'Roll the outer edge of the glass in celery salt until fully coated.', 'Fill with ice and set aside.', 'Squeeze the lemon and lime wedges into a shaker and drop them in.', 'Add the remaining ingredients and ice and shake gently.', 'Strain into the prepared glass.', 'Garnish with a parsley sprig, 2 speared green olives and a lime wedge and a celery stalk (optional).']",Spicy,"[['this is NOT a complicated cpcktail I hava nad old mr bpstns bartender guide and some of these ingredients are new/made up-- no horseradish or smoked paprika needed'], ['Good recipe. Could I use rum instead of vodka?'], ['We support experimenting and making drinks however you like, but for this drink, a better substitution might be gin.']]"
Mule,https://www.liquor.com/recipes/mule/,"{'dark rum, vodka, tequila, mezcal or gin': '1 ounce', 'peach schnapps': '1 ounce', 'ginger juice': '1/4 ounce', 'lime juice': '1/2 ounce', 'Fentimans ginger beer': 'to top'}","['“I enjoy sweet liqueurs in something that has a little spice, such as a Mule with fresh ginger and soda,” says Jeremy Allen, the general manager of MiniBar in Los Angeles. “Peach schnapps is surprisingly versatile, and you can use almost any liquor as the base,” he says. Any base spirit would work well, but he prefers rum, vodka, tequila, mezcal or gin with his Mule.', 'This recipe originally appeared as part of “What the #$@! Do I Do with This? Peach Schnapps. What It Is and How to Use It.”']","['Add all ingredients into a Collins glass over ice.', 'Top with ginger beer.', 'Garnish with a lime wedge.']",Spicy,NULL
Tequila Mockingbird,https://www.liquor.com/recipes/tequila-mockingbird/,"{'Jalapeño pepper': '1 slice', 'Watermelon cubes ': '3', 'Silver tequila': '2 ounce', 'Fresh lime juice': '3/4 ounce', 'Agave syrup': '3/4 ounce'}",['Tequila and watermelon is a woefully underused combination.'],"['Muddle the jalapeño and watermelon in a shaker.', 'Add the remaining ingredients and ice, and shake until well-chilled.', 'Fine-strain into a rocks glass over fresh ice.']",Spicy,"[['Now this is MY kinda cocktail! Lil spicy, lil’ sweet & refreshing!!👍🏽😊'], [""the recipe I use also adds fresh Basil leaf and I would recommend it, it's one of the best cocktails we've ever had""], ['Can’t take the jalapeño anymore I use a light dash of Tobasco. Lush sweet and refreshing. Have it along with a good seat in the garden. You’ll love it on a sunny day in the shade of an old tree'], ['Thanks for sharing your variation. Cheers!']]"
Transfusion,https://www.liquor.com/recipes/transfusion/,"{'vodka': '2 ounce', 'ginger syrup': '1/2 ounce', 'fresh lime juice': '1/2 ounce', 'Concord grape juice ice cubes': 'NULL', 'club soda': '2 ounce'}","['The Transfusion is a golf club standard made with vodka, ginger ale and grape juice. This twist combines homemade ginger syrup with Concord grape juice ice cubes that slowly infuse the drink with fall flavor.']","['Add the vodka, ginger syrup and lime juice into a shaker with ice and shake.', 'Strain into a rocks glass over the Concord grape juice ice cubes.', 'Top with the club soda.', 'Garnish with a Concord grape and piece of crystallized ginger.', '*Ginger syrup: Add 1 cup fresh-pressed ginger juice and 2 cups sugar to a pot over medium heat. Stir until the sugar dissolves and remove from heat.']",Spicy,NULL
El Diablo,https://www.liquor.com/recipes/el-diablo/,"{'Tequila reposado': '11/2 ounce', 'Crème de Cassis': '1/2 ounce', 'Lime juice': '1/2 ounce', 'Ginger beer': '3 ounce', 'Blackberry': 'NULL'}",['This classic tequila drink has a little bit of everything.'],"['Add all ingredients except ginger beer into a shaker with ice and shake.', 'Fine-strain into Collins glass over fresh ice.', 'Top with ginger beer.', 'Garnish with a lime wedge and blackberry.']",Spicy,NULL
Hornitos Tequila Toddy,https://www.liquor.com/recipes/hornitos-tequila-toddy/,"{'Hornitos Plata Tequila': '2 ounce', 'honey': '1/4 ounce', 'Agave nectar': '1/4 ounce', 'Lemon': '1 wedge', 'Cinnamon stick': '1', 'Cloves': '2', 'Hot water': '4 ounce'}",['Swap out whiskey for tequila in this twist on the classic Hot Toddy.'],"['Add all the ingredients to a mug.', 'Stir, and let steep for one minute.']",Spicy,NULL
